seg,chain,kind,dir,bias,cmd_duty_q15,tick,window_valid,pos,duty_q15,current_raw,vmotor_a,vmotor_b,vbus_raw
0,0,rest,0,0,0,960,0,2243,0,109,778,783,2200
0,0,rest,0,0,0,961,0,2245,0,107,779,784,2201
0,0,rest,0,0,0,962,0,2244,0,111,778,783,2200
0,0,rest,0,0,0,963,0,2242,0,107,778,782,2198
0,0,rest,0,0,0,964,0,2244,0,109,779,783,2200
0,0,rest,0,0,0,965,0,2242,0,109,778,782,2197
0,0,rest,0,0,0,966,0,2242,0,111,777,781,2197
0,0,rest,0,0,0,967,0,2242,0,110,778,782,2197
0,0,rest,0,0,0,968,0,2243,0,108,779,782,2199
0,0,rest,0,0,0,969,0,2243,0,110,778,783,2200
0,0,rest,0,0,0,970,0,2243,0,109,778,783,2200
0,0,rest,0,0,0,971,0,2243,0,108,779,782,2199
0,0,rest,0,0,0,972,0,2243,0,109,779,784,2199
0,0,rest,0,0,0,973,0,2242,0,108,778,783,2198
0,0,rest,0,0,0,974,0,2244,0,108,779,784,2199
0,0,rest,0,0,0,975,0,2243,0,108,779,781,2199
0,0,rest,0,0,0,976,0,2243,0,109,778,783,2198
0,0,rest,0,0,0,977,0,2243,0,107,778,782,2199
0,0,rest,0,0,0,978,0,2243,0,108,778,783,2199
0,0,rest,0,0,0,979,0,2242,0,106,778,783,2197
0,0,rest,0,0,0,980,0,2242,0,108,778,782,2197
0,0,rest,0,0,0,981,0,2242,0,109,778,783,2198
0,0,rest,0,0,0,982,0,2243,0,109,778,782,2198
0,0,rest,0,0,0,983,0,2244,0,108,779,782,2199
0,0,rest,0,0,0,984,0,2245,0,106,780,784,2202
0,0,rest,0,0,0,985,0,2244,0,108,779,782,2199
0,0,rest,0,0,0,986,0,2242,0,109,778,782,2198
0,0,rest,0,0,0,987,0,2241,0,108,778,781,2197
0,0,rest,0,0,0,988,0,2241,0,109,777,782,2197
0,0,rest,0,0,0,989,0,2242,0,109,778,782,2198
0,0,rest,0,0,0,990,0,2243,0,108,779,783,2200
0,0,rest,0,0,0,991,0,2242,0,107,778,782,2198
0,0,rest,0,0,0,992,0,2243,0,110,779,783,2200
0,0,rest,0,0,0,993,0,2244,0,108,778,783,2201
