k,code,pre_q15,step_q15,step_index,start_cnt,pwm_arr,start_dir,restore_dir,vbus_raw,bias,chans,frame_len,vmotor_bias,pos,seated
0,120,-3932,-13107,485,810,1200,1,1,1968,113,7,4,0,122,1
1,529
2,522
3,1989
4,114
5,529
6,523
7,1992
8,117
9,529
10,523
11,1994
12,115
13,529
14,523
15,1995
16,115
17,527
18,523
19,1997
20,115
21,527
22,521
23,2000
24,116
25,527
26,522
27,2001
28,114
29,527
30,522
31,2002
32,114
33,525
34,521
35,2003
36,114
37,529
38,2160
39,2026
40,172
41,533
42,591
43,1982
44,118
45,529
46,521
47,1982
48,119
49,528
50,521
51,1986
52,113
53,527
54,522
55,1989
56,116
57,527
58,521
59,1991
60,115
61,528
62,522
63,1993
64,115
65,526
66,521
67,1995
68,115
69,526
70,521
71,1996
72,113
73,525
74,522
75,1997
76,114
77,525
78,522
79,1999
80,114
81,526
82,374
83,1999
84,164
85,530
86,2153
87,2013
88,135
89,526
90,521
91,1979
92,121
93,527
94,521
95,1982
96,115
97,527
98,520
99,1986
100,116
101,527
102,520
103,1989
104,116
105,526
106,521
107,1991
108,114
109,526
110,520
111,1993
112,114
113,526
114,521
115,1995
116,115
117,526
118,521
119,1997
120,113
121,526
122,521
123,1999
124,113
125,525
126,521
127,2001
128,114
129,529
130,2153
131,2025
132,173
133,531
134,692
135,1985
136,118
137,527
138,520
139,1982
140,119
141,527
142,521
143,1986
144,114
145,526
146,520
147,1990
148,116
149,527
150,521
151,1992
152,115
153,526
154,522
155,1994
156,115
157,526
158,521
159,1996
160,115
161,527
162,522
163,1998
164,115
165,527
166,522
167,2001
168,114
169,526
170,521
171,2003
172,114
173,526
174,520
175,2004
176,161
177,531
178,2158
179,2019
180,156
181,530
182,523
183,1984
184,119
185,529
186,521
187,1987
188,116
189,529
190,522
191,1991
192,115
193,528
194,522
195,1993
196,116
197,528
198,521
199,1996
200,115
201,528
202,523
203,1998
204,115
205,527
206,522
207,2001
208,114
209,528
210,523
211,2004
212,115
213,527
214,523
215,2006
216,114
217,526
218,523
219,2008
220,112
221,530
222,2148
223,2034
224,173
225,532
226,989
227,1999
228,117
229,529
230,523
231,1989
232,119
233,529
234,522
235,1991
236,114
237,529
238,522
239,1996
240,116
241,529
242,523
243,1997
244,114
245,528
246,522
247,2002
248,115
249,529
250,523
251,2004
252,113
253,529
254,524
255,2006
256,114
257,529
258,523
259,2007
260,114
261,527
262,523
263,2009
264,113
265,528
266,524
267,2010
268,157
269,531
270,2166
271,2027
272,177
273,531
274,525
275,1990
276,118
277,530
278,523
279,1992
280,115
281,530
282,523
283,1995
284,115
285,530
286,523
287,1998
288,115
289,529
290,524
291,2001
292,114
293,529
294,523
295,2004
296,114
297,528
298,524
299,2005
300,113
301,528
302,524
303,2007
304,113
305,528
306,523
307,2009
308,114
309,528
310,523
311,2010
312,114
313,530
314,2118
315,2036
316,169
317,532
318,2089
319,2017
320,117
321,530
322,524
323,1992
324,119
325,529
326,523
327,1994
328,114
329,529
330,523
331,1997
332,117
333,529
334,523
335,2000
336,114
337,529
338,523
339,2002
340,114
341,528
342,523
343,2004
344,114
345,529
346,523
347,2006
348,113
349,528
350,524
351,2007
352,115
353,529
354,524
355,2009
356,115
357,528
358,523
359,2010
360,151
361,532
362,2167
363,2030
364,179
365,530
366,528
367,1991
368,120
369,529
370,522
371,1991
372,116
373,529
374,523
375,1994
376,115
377,529
378,523
379,1997
380,116
381,529
382,523
383,1999
384,113
385,529
386,523
387,2002
388,115
389,529
390,523
391,2004
392,114
393,527
394,523
395,2006
396,114
397,528
398,523
399,2006
400,114
401,527
402,523
403,2008
404,113
405,525
406,2028
407,2040
408,168
409,532
410,2157
411,2018
412,118
413,530
414,523
415,1989
416,120
417,529
418,522
419,1990
420,114
421,529
422,522
423,1995
424,115
425,529
426,522
427,1996
428,113
429,528
430,522
431,1999
432,115
433,528
434,523
435,2001
436,114
437,528
438,524
439,2004
440,114
441,527
442,523
443,2004
444,113
445,526
446,523
447,2006
448,114
449,526
450,522
451,2006
452,141
453,529
454,2165
455,2028
456,175
457,529
458,534
459,1986
460,118
461,529
462,522
463,1989
464,117
465,529
466,521
467,1991
468,114
469,528
470,523
471,1994
472,117
473,528
474,523
475,1995
476,114
477,528
478,523
479,2000
480,115
481,529
482,523
483,2001
484,114
485,527
486,522
487,2003
488,114
489,527
490,522
491,2005
492,113
493,526
494,522
495,2007
496,114
497,527
498,1812
499,2034
500,168
501,532
502,2157
503,2017
504,185
505,534
506,2138
507,1994
508,218
509,537
510,587
511,1955
512,129
513,533
514,521
515,1964
516,127
517,531
518,522
519,1973
520,123
521,531
522,521
523,1982
524,124
525,531
526,521
527,1989
528,120
529,531
530,522
531,1995
532,121
533,530
534,522
535,2001
536,121
537,529
538,2022
539,2035
540,196
541,535
542,2150
543,2008
544,219
545,539
546,2129
547,1984
548,243
549,541
550,2106
551,1958
552,257
553,542
554,2086
555,1931
556,217
557,538
558,521
559,1930
560,174
561,537
562,522
563,1962
564,161
565,536
566,521
567,1991
568,155
569,535
570,522
571,2016
572,151
573,534
574,521
575,2038
576,144
577,535
578,521
579,2058
580,139
581,533
582,522
583,2073
584,195
585,537
586,2213
587,2096
588,260
589,540
590,2196
591,2073
592,282
593,542
594,2174
595,2049
596,303
597,545
598,2154
599,2021
600,323
601,547
602,679
603,1983
604,160
605,537
606,517
607,2004
608,150
609,536
610,518
611,2025
612,144
613,536
614,518
615,2048
616,145
617,535
618,518
619,2065
620,139
621,534
622,518
623,2078
624,134
625,533
626,518
627,2091
628,133
629,532
630,1834
631,2122
632,262
633,540
634,2213
635,2097
636,284
637,544
638,2186
639,2063
640,313
641,545
642,2161
643,2033
644,333
645,547
646,2136
647,2002
648,288
649,540
650,516
651,1982
652,154
653,537
654,511
655,2011
656,149
657,538
658,516
659,2027
660,148
661,537
662,516
663,2050
664,142
665,536
666,516
667,2066
668,137
669,534
670,516
671,2080
672,136
673,534
674,517
675,2093
676,166
677,539
678,2220
679,2107
680,289
681,543
682,2194
683,2073
684,316
685,547
686,2165
687,2037
688,343
689,550
690,2138
691,2004
692,360
693,551
694,943
695,1964
696,164
697,541
698,511
699,1986
700,156
701,540
702,511
703,2012
704,153
705,538
706,517
707,2029
708,146
709,539
710,517
711,2053
712,140
713,538
714,517
715,2069
716,138
717,537
718,517
719,2085
720,136
721,536
722,1214
723,2105
724,285
725,546
726,2208
727,2088
728,314
729,548
730,2177
731,2051
732,344
733,550
734,2148
735,2014
736,363
737,553
738,2120
739,1980
740,374
741,547
742,518
743,1959
744,165
745,544
746,517
747,1989
748,156
749,541
750,518
751,2015
752,151
753,541
754,518
755,2038
756,146
757,541
758,518
759,2060
760,142
761,540
762,518
763,2077
764,139
765,539
766,519
767,2092
768,136
769,546
770,2221
771,2107
772,310
773,550
774,2194
775,2072
776,343
777,553
778,2164
779,2034
780,363
781,554
782,2134
783,1996
784,383
785,556
786,1997
787,1973
788,175
789,547
790,518
791,1972
792,165
793,546
794,519
795,2002
796,154
797,545
798,519
799,2026
800,151
801,545
802,519
803,2051
804,145
805,544
806,519
807,2071
808,142
809,540
810,519
811,2088
812,137
813,540
814,354
815,2095
816,297
817,550
818,2213
819,2092
820,331
821,552
822,2182
823,2053
824,361
825,555
826,2150
827,2013
828,381
829,557
830,2120
831,1977
832,404
833,551
834,521
835,1954
836,169
837,547
838,518
839,1986
840,157
841,546
842,518
843,2011
844,151
845,545
846,518
847,2035
848,149
849,544
850,519
851,2059
852,145
853,543
854,519
855,2077
856,140
857,541
858,519
859,2092
860,136
861,548
862,2216
863,2109
864,322
865,551
866,2194
867,2070
868,352
869,554
870,2161
871,2029
872,375
873,556
874,2130
875,1991
876,394
877,557
878,2100
879,1960
880,189
881,548
882,518
883,1962
884,165
885,547
886,518
887,1990
888,154
889,545
890,518
891,2017
892,151
893,545
894,518
895,2039
896,149
897,543
898,518
899,2061
900,143
901,541
902,518
903,2078
904,139
905,541
906,511
907,2093
908,298
909,551
910,2205
911,2085
912,334
913,552
914,2174
915,2048
916,365
917,553
918,2140
919,2004
920,385
921,556
922,2109
923,1967
924,410
925,552
926,526
927,1938
928,172
929,547
930,517
931,1970
932,158
933,546
934,517
935,1996
936,153
937,545
938,517
939,2021
940,149
941,544
942,518
943,2040
944,144
945,542
946,517
947,2061
948,140
949,541
950,518
951,2076
952,136
953,547
954,2190
955,2094
956,324
957,550
958,2183
959,2056
